id_mutation,valeur_fonciere,surface_reelle_bati,prix_m2,nombre_pieces_principales,type_local,nom_commune,nom_iris,code_commune,code_departement,code_iris,id_parcelles,longitude,latitude,date_mutation
2018-1397792,270800.0,29,9337,2,appartement,Paris 17e Arrondissement,Batignolles 10,75117,75,751176710,75117000CG0104,2.310405,48.88567000000001,2018-07-26
2018-1403304,525000.0,51,10294,3,appartement,Paris 18e Arrondissement,Clignancourt 7,75118,75,751187007,75118000BN0033,2.344721,48.886654,2018-11-14
2018-1400295,210000.0,24,8750,1,appartement,Paris 18e Arrondissement,Goutte d'Or 9,75118,75,751187109,75118000CK0054,2.359112,48.88966,2018-03-23
2018-1383726,430000.0,51,8431,3,appartement,Paris 13e Arrondissement,Gare 12,75113,75,751135012,75113000CO0062,2.375751,48.824512,2018-10-15
2019-1102133,331000.0,25,13240,1,appartement,Paris 4e Arrondissement,Saint-Gervais 3,75104,75,751041403,75104000AI0071,2.359106,48.85656,2019-11-12
2019-1082022,660000.0,62,10645,3,appartement,Paris 15e Arrondissement,Javel 6,75115,75,751156006,75115000EN0038,2.286198,48.8407,2019-10-23
2019-1096074,520000.0,66,7878,3,appartement,Paris 20e Arrondissement,Belleville 14,75120,75,751207714,75120000AH0007,2.394027,48.87484,2019-02-12
2019-1087318,406400.0,39,10420,1,appartement,Paris 17e Arrondissement,Ternes 11,75117,75,751176511,75117000AM0013,2.296977,48.88187,2019-01-28
2019-1084919,716500.0,60,11941,2,appartement,Paris 16e Arrondissement,Muette 18,75116,75,751166218,75116000DJ0017,2.280333,48.86267,2019-06-21
2019-1070400,683649.9999999999,64,10682,3,appartement,Paris 10e Arrondissement,Porte Saint-Denis 2,75110,75,751103802,75110000AW0056,2.35354,48.87053,2019-05-22
2018-1382485,113930.0,10,11393,1,appartement,Paris 13e Arrondissement,Maison Blanche 25,75113,75,751135125,75113000DZ0066,2.354942,48.82626,2018-03-30
2019-1075324,602000.0,60,10033,3,appartement,Paris 12e Arrondissement,Picpus 2,75112,75,751124602,75112000BR0031,2.398068,48.834236,2019-06-14
2018-1381099,180000.0,18,10000,1,appartement,Paris 11e Arrondissement,Roquette 15,75111,75,751114315,75111000BI0030,2.376209,48.858616,2018-11-05
2018-1387741,190000.0,25,7600,2,appartement,Paris 15e Arrondissement,Saint-Lambert 28,75115,75,751155728,75115000BV0059,2.300913,48.842327,2018-04-28
2019-1069372,210000.0,23,9130,2,appartement,Paris 10e Arrondissement,Saint-Vincent de Paul 1,75110,75,751103701,75110000AF0036,2.36682,48.88273,2019-03-19
2019-1081831,450000.0,55,8181,3,appartement,Paris 15e Arrondissement,Grenelle 4,75115,75,751155904,75115000EH0002,2.289802,48.845097,2019-09-30
2019-1090413,475000.0,30,15833,1,appartement,Paris 17e Arrondissement,Batignolles 16,75117,75,751176716,75117000CD0013,2.309123,48.888416,2019-11-04
2019-1079464,255000.0,32,7968,1,appartement,Paris 15e Arrondissement,Saint-Lambert 30,75115,75,751155730,75115000AB0011,2.301777,48.83953,2019-03-28
2019-1077339,685000.0,59,11610,3,appartement,Paris 14e Arrondissement,Petit Montrouge 2,75114,75,751145502,75114000BY0024,2.328991,48.823414,2019-02-18
2019-1080008,853600.0,106,8052,3,appartement,Paris 15e Arrondissement,Grenelle 8,75115,75,751155908,75115000DS0006,2.283816,48.85022,2019-05-09
2019-1068159,440000.0,41,10731,2,appartement,Paris 5e Arrondissement,Jardin des Plantes 6,75105,75,751051806,75105000AL0132,2.353514,48.841576,2019-07-31
2019-1089131,456000.0,45,10133,2,appartement,Paris 17e Arrondissement,Ternes 12,75117,75,751176512,75117000AX0115,2.293862,48.883945,2019-07-16
2018-1382867,195000.0,26,7500,2,appartement,Paris 13e Arrondissement,Gare 5,75113,75,751135005,75113000CU0013,2.362836,48.823395,2018-06-18
2018-1385725,934000.0,73,12794,3,appartement,Paris 14e Arrondissement,Petit Montrouge 15,75114,75,751145515,75114000BQ0016,2.334523,48.831547,2018-09-25
2018-1396824,459500.0,55,8354,3,appartement,Paris 17e Arrondissement,Epinettes 10,75117,75,751176810,75117000DN0054,2.324677,48.895008,2018-05-31
2018-1395550,334000.0,29,11517,2,appartement,Paris 17e Arrondissement,Plaine Monceau 7,75117,75,751176607,75117000BJ0004,2.29761,48.882393,2018-01-17
2019-1074843,200000.0,20,10000,2,appartement,Paris 11e Arrondissement,Roquette 14,75111,75,751114314,75111000BZ0039,2.375011,48.856144,2019-05-10
2019-1081422,260000.0,42,6190,1,appartement,Paris 15e Arrondissement,Grenelle 8,75115,75,751155908,75115000DS0004,2.284934,48.850464,2019-09-05
2019-1069982,270000.0,21,12857,1,appartement,Paris 10e Arrondissement,Porte Saint-Denis 6,75110,75,751103806,75110000AS0064,2.352434,48.87371,2019-04-23
2019-1065148,694200.0,50,13884,3,appartement,Paris 8e Arrondissement,Europe 6,75108,75,751083206,75108000CE0047,2.322569,48.882195,2019-09-19
